Lon	Lat	WDP
10.75	63.25	0.02530993
11.25	63.25	0.026762006
11.75	63.25	0.026525015
12.25	63.25	0.024337748
12.75	63.25	0.021766548
13.25	63.25	0.01933641
13.75	63.25	0.015227903
14.25	63.25	0.011773285
14.75	63.25	0.012509802
15.25	63.25	0.012765896
15.75	63.25	0.010186188
16.25	63.25	0.007187001
16.75	63.25	0.005689519
17.25	63.25	0.006235369
17.75	63.25	0.008103911
18.25	63.25	0.010389113
18.75	63.25	0.013455843
19.25	63.25	0.017337612
19.75	63.25	0.02151268
21.75	63.25	0.01323045
22.25	63.25	0.012083446
22.75	63.25	0.012172104
23.25	63.25	0.013381284
23.75	63.25	0.014992481
24.25	63.25	0.015338158
24.75	63.25	0.01434974
25.25	63.25	0.012760952
25.75	63.25	0.012026703
26.25	63.25	0.011758233
26.75	63.25	0.011004571
27.25	63.25	0.010529002
27.75	63.25	0.01026721
28.25	63.25	0.010519203
28.75	63.25	0.010343929
29.25	63.25	0.010651211
29.75	63.25	0.010677547
30.25	63.25	0.00985516
30.75	63.25	0.009670378
31.25	63.25	0.009857241
6.25	62.75	0.023752745
6.75	62.75	0.023001419
7.25	62.75	0.023939963
7.75	62.75	0.025546076
8.25	62.75	0.026493791
8.75	62.75	0.026838531
9.25	62.75	0.026853199
9.75	62.75	0.027356948
10.25	62.75	0.027884496
10.75	62.75	0.027103545
11.25	62.75	0.027099397
11.75	62.75	0.026545597
12.25	62.75	0.025307301
12.75	62.75	0.021409764
13.25	62.75	0.018954678
13.75	62.75	0.017045508
14.25	62.75	0.011412232
14.75	62.75	0.010251958
15.25	62.75	0.010085217
15.75	62.75	0.008415075
16.25	62.75	0.006683513
16.75	62.75	0.006800153
17.25	62.75	0.008405121
17.75	62.75	0.011928528
18.25	62.75	0.01507726
20.75	62.75	0.01683069
21.25	62.75	0.018176435
21.75	62.75	0.015051312
22.25	62.75	0.015412737
22.75	62.75	0.015834722
23.25	62.75	0.017312725
23.75	62.75	0.017098993
24.25	62.75	0.01598148
24.75	62.75	0.014549932
25.25	62.75	0.013496989
25.75	62.75	0.013179459
26.25	62.75	0.013108802
26.75	62.75	0.01329521
27.25	62.75	0.01302464
27.75	62.75	0.01315809
28.25	62.75	0.012800022
28.75	62.75	0.012456099
29.25	62.75	0.012238395
29.75	62.75	0.011876045
30.25	62.75	0.011531868
30.75	62.75	0.010970794
31.25	62.75	0.010236747
5.25	62.25	0.023914723
5.75	62.25	0.026470989
6.25	62.25	0.026978454
6.75	62.25	0.026954856
7.25	62.25	0.026427654
7.75	62.25	0.026236173
8.25	62.25	0.026332918
8.75	62.25	0.026197826
9.25	62.25	0.026094285
9.75	62.25	0.022016589
10.25	62.25	0.019313214
10.75	62.25	0.020255693
11.25	62.25	0.019732418
11.75	62.25	0.020461039
12.25	62.25	0.018077841
12.75	62.25	0.016409294
13.25	62.25	0.015099711
13.75	62.25	0.014376743
14.25	62.25	0.012113022
14.75	62.25	0.008817995
15.25	62.25	0.008175736
15.75	62.25	0.008499009
16.25	62.25	0.008154713
16.75	62.25	0.007379213
17.25	62.25	0.010200455
20.75	62.25	0.014693114
21.25	62.25	0.014318194
21.75	62.25	0.017713324
22.25	62.25	0.018597742
22.75	62.25	0.018368431
23.25	62.25	0.017211118
23.75	62.25	0.013779047
24.25	62.25	0.011852741
24.75	62.25	0.011245392
25.25	62.25	0.011592693
25.75	62.25	0.011982579
26.25	62.25	0.012687487
26.75	62.25	0.013344293
27.25	62.25	0.013669484
27.75	62.25	0.01408094
28.25	62.25	0.014531955
28.75	62.25	0.014168788
29.25	62.25	0.013526223
29.75	62.25	0.011442813
30.25	62.25	0.010946667
30.75	62.25	0.011651235
4.75	61.75	0.02777067
5.25	61.75	0.026428307
5.75	61.75	0.026668506
6.25	61.75	0.02613778
6.75	61.75	0.026231804
7.25	61.75	0.026531974
7.75	61.75	0.026629244
8.25	61.75	0.02660176
8.75	61.75	0.01925424
9.25	61.75	0.017346992
9.75	61.75	0.016850016
10.25	61.75	0.015813695
10.75	61.75	0.014644584
11.25	61.75	0.015540652
11.75	61.75	0.016386052
12.25	61.75	0.018488601
12.75	61.75	0.020538058
13.25	61.75	0.019169899
13.75	61.75	0.016432902
14.25	61.75	0.014605339
14.75	61.75	0.01235966
15.25	61.75	0.010200325
15.75	61.75	0.008224529
16.25	61.75	0.007709988
16.75	61.75	0.009970132
17.25	61.75	0.01262914
21.25	61.75	0.013973369
21.75	61.75	0.014688982
22.25	61.75	0.016130589
22.75	61.75	0.016767264
23.25	61.75	0.015437034
23.75	61.75	0.013346456
24.25	61.75	0.011329983
24.75	61.75	0.010578645
25.25	61.75	0.010684673
25.75	61.75	0.011764972
26.25	61.75	0.012591698
26.75	61.75	0.013841119
27.25	61.75	0.014182999
27.75	61.75	0.01495177
28.25	61.75	0.016542311
28.75	61.75	0.016125936
29.25	61.75	0.013811237
29.75	61.75	0.012553356
4.75	61.25	0.02797745
5.25	61.25	0.026860349
5.75	61.25	0.027072061
6.25	61.25	0.027414311
6.75	61.25	0.024486308
7.25	61.25	0.025837161
7.75	61.25	0.026731729
8.25	61.25	0.025961701
8.75	61.25	0.018207403
9.25	61.25	0.016737228
9.75	61.25	0.014925466
10.25	61.25	0.014362963
10.75	61.25	0.013826409
11.25	61.25	0.014147822
11.75	61.25	0.017253391
12.25	61.25	0.019519089
12.75	61.25	0.02183313
13.25	61.25	0.02183444
13.75	61.25	0.020074191
14.25	61.25	0.018244536
14.75	61.25	0.0167885
15.25	61.25	0.016983198
15.75	61.25	0.017185449
16.25	61.25	0.015712094
16.75	61.25	0.014330586
17.25	61.25	0.017804845
21.25	61.25	0.016117167
21.75	61.25	0.010907405
22.25	61.25	0.011846593
22.75	61.25	0.014249565
23.25	61.25	0.014427296
23.75	61.25	0.012719904
24.25	61.25	0.010587039
24.75	61.25	0.010601133
25.25	61.25	0.011563109
25.75	61.25	0.01186414
26.25	61.25	0.012748545
26.75	61.25	0.013775219
27.25	61.25	0.014262662
27.75	61.25	0.014834611
28.25	61.25	0.0153776
28.75	61.25	0.014538486
29.25	61.25	0.013335795
4.75	60.75	0.027576543
5.25	60.75	0.026009748
5.75	60.75	0.027531497
6.25	60.75	0.027858712
6.75	60.75	0.026665084
7.25	60.75	0.025318512
7.75	60.75	0.026012463
8.25	60.75	0.023945576
8.75	60.75	0.016835922
9.25	60.75	0.017946613
9.75	60.75	0.014339731
10.25	60.75	0.012130613
10.75	60.75	0.013561223
11.25	60.75	0.016843292
11.75	60.75	0.019918974
12.25	60.75	0.022054422
12.75	60.75	0.023021553
13.25	60.75	0.023968226
13.75	60.75	0.023862416
14.25	60.75	0.02370809
14.75	60.75	0.021472355
15.25	60.75	0.019275754
15.75	60.75	0.017968892
16.25	60.75	0.017988979
16.75	60.75	0.015155559
17.25	60.75	0.014731273
17.75	60.75	0.018214934
18.25	60.75	0.02168076
21.25	60.75	0.018321547
21.75	60.75	0.014107488
22.25	60.75	0.01457201
22.75	60.75	0.015712812
23.25	60.75	0.015000947
23.75	60.75	0.011982532
24.25	60.75	0.009685807
24.75	60.75	0.010123931
25.25	60.75	0.011227274
25.75	60.75	0.012348382
26.25	60.75	0.014034735
26.75	60.75	0.01578014
27.25	60.75	0.016566876
27.75	60.75	0.018503874
28.25	60.75	0.017594688
5.25	60.25	0.025816052
5.75	60.25	0.026766188
6.25	60.25	0.026966515
6.75	60.25	0.026790112
7.25	60.25	0.025838122
7.75	60.25	0.025107988
8.25	60.25	0.027000114
8.75	60.25	0.020148663
9.25	60.25	0.016510005
9.75	60.25	0.011224408
10.25	60.25	0.011914619
10.75	60.25	0.016264221
11.25	60.25	0.019144498
11.75	60.25	0.023003628
12.25	60.25	0.023750498
12.75	60.25	0.022806834
13.25	60.25	0.023441887
13.75	60.25	0.02461262
14.25	60.25	0.024667481
14.75	60.25	0.023830948
15.25	60.25	0.02238784
15.75	60.25	0.020357101
16.25	60.25	0.018487246
16.75	60.25	0.017220868
17.25	60.25	0.016259887
17.75	60.25	0.016771886
18.25	60.25	0.019013554
18.75	60.25	0.023527893
19.75	60.25	0.025374108
20.25	60.25	0.02569415
21.75	60.25	0.017968495
22.25	60.25	0.018957385
22.75	60.25	0.018366676
23.25	60.25	0.016730366
23.75	60.25	0.016586919
24.25	60.25	0.015412247
24.75	60.25	0.013775896
25.25	60.25	0.01414566
25.75	60.25	0.01495136
5.25	59.75	0.02584013
5.75	59.75	0.027347464
6.25	59.75	0.027503603
6.75	59.75	0.026608141
7.25	59.75	0.026747854
7.75	59.75	0.026454614
8.25	59.75	0.024637035
8.75	59.75	0.018694603
9.25	59.75	0.014862435
9.75	59.75	0.013025772
10.25	59.75	0.015507575
10.75	59.75	0.019747963
11.25	59.75	0.023507837
11.75	59.75	0.024376656
12.25	59.75	0.023438282
12.75	59.75	0.02342889
13.25	59.75	0.023483898
13.75	59.75	0.024520061
14.25	59.75	0.024413366
14.75	59.75	0.0239301
15.25	59.75	0.022492865
15.75	59.75	0.019986873
16.25	59.75	0.018586161
16.75	59.75	0.018421979
17.25	59.75	0.01871419
17.75	59.75	0.018489859
18.25	59.75	0.019796374
18.75	59.75	0.023211922
19.25	59.75	0.02160358
24.25	59.75	0.016477493
24.75	59.75	0.01524561
25.25	59.75	0.016079864
25.75	59.75	0.016069499
26.25	59.75	0.016481758
26.75	59.75	0.017766665
-3.25	59.25	0.01418257
5.25	59.25	0.02563639
5.75	59.25	0.027846835
6.25	59.25	0.026148396
6.75	59.25	0.02600238
7.25	59.25	0.025482758
7.75	59.25	0.024791644
8.25	59.25	0.017301485
8.75	59.25	0.016971291
9.25	59.25	0.017578458
9.75	59.25	0.019785455
10.25	59.25	0.021101661
10.75	59.25	0.022841385
11.25	59.25	0.023931341
11.75	59.25	0.023799707
12.25	59.25	0.02331178
12.75	59.25	0.023028917
13.25	59.25	0.024578685
13.75	59.25	0.02386877
14.25	59.25	0.01970793
14.75	59.25	0.020832851
15.25	59.25	0.022036012
15.75	59.25	0.021538752
16.25	59.25	0.020310604
16.75	59.25	0.021171791
17.25	59.25	0.023017418
17.75	59.25	0.023615689
18.25	59.25	0.022839706
18.75	59.25	0.023093997
22.25	59.25	0.02665015
22.75	59.25	0.026546725
23.25	59.25	0.02676456
23.75	59.25	0.023669489
24.25	59.25	0.016982702
24.75	59.25	0.017459469
25.25	59.25	0.017876129
25.75	59.25	0.01816293
26.25	59.25	0.018871374
26.75	59.25	0.019104945
27.25	59.25	0.018946557
27.75	59.25	0.020078796
28.25	59.25	0.020081905
-5.25	58.75	0.01846522
-4.75	58.75	0.021777479
-4.25	58.75	0.025925053
-3.75	58.75	0.026804146
-3.25	58.75	0.02628832
5.75	58.75	0.026405033
6.25	58.75	0.02512325
6.75	58.75	0.025323026
7.25	58.75	0.026695553
7.75	58.75	0.025593459
8.25	58.75	0.018391042
8.75	58.75	0.017901793
9.25	58.75	0.022059907
11.25	58.75	0.025007712
11.75	58.75	0.019257184
12.25	58.75	0.017750544
12.75	58.75	0.019120295
13.25	58.75	0.019321344
13.75	58.75	0.01633707
14.25	58.75	0.015367961
14.75	58.75	0.017139563
15.25	58.75	0.017929608
15.75	58.75	0.020091308
16.25	58.75	0.021233306
16.75	58.75	0.02267897
17.25	58.75	0.024585448
21.75	58.75	0.02730548
22.25	58.75	0.026427967
22.75	58.75	0.026143133
23.75	58.75	0.022367407
24.25	58.75	0.017854188
24.75	58.75	0.019069037
25.25	58.75	0.017590415
25.75	58.75	0.016952658
26.25	58.75	0.01761928
26.75	58.75	0.018324948
27.25	58.75	0.017952304
-6.75	58.25	0.014282373
-6.25	58.25	0.018519053
-5.25	58.25	0.025828499
-4.75	58.25	0.027718048
-4.25	58.25	0.027427702
-3.75	58.25	0.027653824
-3.25	58.25	0.028022155
5.75	58.25	0.02599684
6.25	58.25	0.025287001
6.75	58.25	0.026673856
7.25	58.25	0.027165121
7.75	58.25	0.025493025
8.25	58.25	0.022272329
8.75	58.25	0.02105473
11.25	58.25	0.028099913
11.75	58.25	0.024033498
12.25	58.25	0.019025071
12.75	58.25	0.01709287
13.25	58.25	0.017019584
13.75	58.25	0.017001967
14.25	58.25	0.016964438
14.75	58.25	0.016675291
15.25	58.25	0.015871272
15.75	58.25	0.01722796
16.25	58.25	0.018898803
16.75	58.25	0.019978182
19.25	58.25	0.02842456
21.75	58.25	0.02724427
22.25	58.25	0.026919408
24.25	58.25	0.02217472
24.75	58.25	0.018426915
25.25	58.25	0.01838117
25.75	58.25	0.017959709
26.25	58.25	0.018132479
26.75	58.25	0.017870325
27.25	58.25	0.018445584
27.75	58.25	0.019183708
-6.25	57.75	0.01270384
-5.75	57.75	0.028412281
-5.25	57.75	0.029712951
-4.75	57.75	0.028579248
-4.25	57.75	0.025716887
-3.75	57.75	0.025532427
-3.25	57.75	0.026084048
-2.75	57.75	0.02696699
-2.25	57.75	0.026833031
-1.75	57.75	0.027948527
10.25	57.75	0.025823518
11.75	57.75	0.026927768
12.25	57.75	0.023531877
12.75	57.75	0.020642167
13.25	57.75	0.020863034
13.75	57.75	0.020113117
14.25	57.75	0.020636543
14.75	57.75	0.019959812
15.25	57.75	0.017366002
15.75	57.75	0.016121589
16.25	57.75	0.015298498
16.75	57.75	0.01597396
18.75	57.75	0.028016055
19.25	57.75	0.02844753
21.75	57.75	0.027257937
22.25	57.75	0.024594223
22.75	57.75	0.01969478
24.25	57.75	0.02032387
24.75	57.75	0.017415422
25.25	57.75	0.017287634
25.75	57.75	0.018069823
26.25	57.75	0.01842805
26.75	57.75	0.018587455
27.25	57.75	0.018549028
27.75	57.75	0.018912437
-6.25	57.25	0.013645777
-5.75	57.25	0.029908997
-5.25	57.25	0.030511593
-4.75	57.25	0.02822669
-4.25	57.25	0.027680476
-3.75	57.25	0.027325788
-3.25	57.25	0.026702291
-2.75	57.25	0.025564091
-2.25	57.25	0.026618549
8.75	57.25	0.02271903
9.25	57.25	0.022690046
9.75	57.25	0.024864201
10.25	57.25	0.026195003
12.25	57.25	0.027121351
12.75	57.25	0.024281384
13.25	57.25	0.021777296
13.75	57.25	0.020072576
14.25	57.25	0.019981768
14.75	57.25	0.020791047
15.25	57.25	0.021726753
15.75	57.25	0.019770586
16.25	57.25	0.017140049
16.75	57.25	0.018859246
18.75	57.25	0.02699087
21.25	57.25	0.027404073
21.75	57.25	0.02492941
22.25	57.25	0.018630773
